concept_id,vendor,vendor_metric,phase_id,phase_name,metric_role,data_type,unit,polarity,definition_tr,counting_rule,scope,dependencies,source_urls,definition_status
HP.SB.gol,sportsbase_label,Gol,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),reward,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.pozisyonlar,sportsbase_label,Pozisyonlar,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.chances_successful,sportsbase_label,"Chances successful, %",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,Yaratılan gol pozisyonlarının gole dönüşme oranı (tanım sağlayıcıya göre “big chance”/“chance” ayrımı olabilir).,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,https://support.hudl.com/s/article/event-data-glossary-team-metrics,OK
HP.SB.faul,sportsbase_label,Faul,4_Organize_Savunma,Organize Savunma (Yerleşik savunma + baskı),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""4_Organize_Savunma"", ""phase_name"": ""Organize Savunma (Yerleşik savunma + baskı)""}",,,MISSING
HP.SB.sari_kartlar,sportsbase_label,Sarı Kartlar,4_Organize_Savunma,Organize Savunma (Yerleşik savunma + baskı),risk,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""4_Organize_Savunma"", ""phase_name"": ""Organize Savunma (Yerleşik savunma + baskı)""}",,,MISSING
HP.SB.kirmizi_kartlar,sportsbase_label,Kırmızı Kartlar,4_Organize_Savunma,Organize Savunma (Yerleşik savunma + baskı),risk,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""4_Organize_Savunma"", ""phase_name"": ""Organize Savunma (Yerleşik savunma + baskı)""}",,,MISSING
HP.SB.kornerler,sportsbase_label,Kornerler,3_DuranTop_Hucum,Duran Top Hücumu,intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""3_DuranTop_Hucum"", ""phase_name"": ""Duran Top Hücumu""}",,,MISSING
HP.SB.sut,sportsbase_label,Şut,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.i_sabetli_sut,sportsbase_label,İsabetli Şut,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.rakip_sahaya_girisler,sportsbase_label,Rakip sahaya girişler,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.top_kayiplari,sportsbase_label,Top kayıpları,5_Savunma_Gecisi,Savunma Geçişi (Top kaybı sonrası),risk,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""5_Savunma_Gecisi"", ""phase_name"": ""Savunma Geçişi (Top kaybı sonrası)""}",,,MISSING
HP.SB.top_kayiplari_kendi_yari_sahasinda,sportsbase_label,Top kayıpları / kendi yarı sahasında,5_Savunma_Gecisi,Savunma Geçişi (Top kaybı sonrası),risk,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""5_Savunma_Gecisi"", ""phase_name"": ""Savunma Geçişi (Top kaybı sonrası)""}",,,MISSING
HP.SB.goal_kicks,sportsbase_label,Goal kicks,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.goal_kicks_accurate,sportsbase_label,Goal kicks accurate,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.goal_kicks_accurate,sportsbase_label,"Goal kicks accurate, %",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.paslar,sportsbase_label,Paslar,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.paslar_adresi_bulanlar,sportsbase_label,"Paslar adresi bulanlar, %",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.kilit_pas,sportsbase_label,Kilit Pas,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,Şuta/çok net fırsata giden son pas (key pass). Sağlayıcı tanımına göre “şuta direkt giden pas” veya “bariz gol fırsatı yaratan pas”.,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,https://dataglossary.wyscout.com/key_pass/; https://stats-portal.statsbomb.com/glossary,OK
HP.SB.key_passes_accurate,sportsbase_label,Key passes accurate,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,Key pass’in (kilit pas) isabetli olanları: sonraki dokunuş takım arkadaşı tarafından gerçekleşen kilit pas.,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,https://dataglossary.wyscout.com/key_pass/,OK
HP.SB.key_passes_accurate,sportsbase_label,"Key passes accurate, %",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,Şutla sonuçlanan hücum aksiyonu öncesindeki pas (son pas).,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,OK
HP.SB.orta,sportsbase_label,Orta,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.i_sabetli_ortalar,sportsbase_label,"İsabetli ortalar, %",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.progressive_passes,sportsbase_label,Progressive passes,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,Rakip kaleye anlamlı biçimde yaklaşmayı hedefleyen ileri/ilerletici pas sayısı (kriter sağlayan pas).,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,https://dataglossary.wyscout.com/progressive_pass/; https://theanalyst.com/articles/opta-football-stats-definitions,OK
HP.SB.progressive_passes_accurate,sportsbase_label,"Progressive passes accurate, %",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,Topu rakip kaleye anlamlı mesafede yaklaştıran pas (tanım eşiklere bağlıdır).,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,OK
HP.SB.progressive_open_passes,sportsbase_label,Progressive open passes,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,Set-piece hariç (open play) oynanan progresif paslar. Progressive pass kriteri + open play filtresi.,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,https://sportsbase.world/; https://dataglossary.wyscout.com/progressive_pass/,OK
HP.SB.uzun_paslar,sportsbase_label,Uzun paslar,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.uzun_paslar_isabetli,sportsbase_label,"Uzun paslar, isabetli, %",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.super_long_passes,sportsbase_label,Super long passes,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.super_long_passes_accurate,sportsbase_label,"Super long passes accurate, %",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.ceza_sahasina_orta,sportsbase_label,Ceza sahasına orta,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.passes_into_the_penalty_box_accurate,sportsbase_label,"Passes into the penalty box accurate, %",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.i_kili_mucadeleler,sportsbase_label,İkili mücadeleler,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.basarili_ikili_mucadele,sportsbase_label,Başarılı ikili mücadele %,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.savunmada_ikili_mucadeleler,sportsbase_label,Savunmada ikili mücadeleler,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.savunmada_kazanilan_ikili_mucadele,sportsbase_label,"Savunmada kazanılan ikili mücadele, %",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.hucumda_ikili_mucadeleler,sportsbase_label,Hücumda ikili mücadeleler,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.hucumda_basarili_ikili_mucadele,sportsbase_label,"Hücumda başarılı ikili mücadele, %",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.havada_hamleler,sportsbase_label,Havada Hamleler,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.basarili_hava_topu_mucadelesi,sportsbase_label,"Başarılı hava topu mücadelesi, %",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.driplingler,sportsbase_label,Driplingler,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.basarili_driplingleri,sportsbase_label,"Başarılı driplingleri, %",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.dribbling_in_the_final_third,sportsbase_label,Dribbling in the final third,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.dribbling_in_the_final_third_successful,sportsbase_label,"Dribbling in the final third successful, %",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.top_kapma,sportsbase_label,Top Kapma,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),success,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.basarili_top_kapma,sportsbase_label,"Başarılı Top Kapma, %",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.takim_presi,sportsbase_label,Takım presi,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.team_pressing_successful,sportsbase_label,"Team pressing successful, %",4_Organize_Savunma,Organize Savunma (Yerleşik savunma + baskı),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""4_Organize_Savunma"", ""phase_name"": ""Organize Savunma (Yerleşik savunma + baskı)""}",,,MISSING
HP.SB.topla_oynama,sportsbase_label,"Topla oynama, %",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.own_goals,sportsbase_label,Own goals,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),reward,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.gol_pozisyonlari_basarili,sportsbase_label,"Gol pozisyonları, başarılı",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),reward,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.shots_on_target,sportsbase_label,"Shots on target, %",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,Şut girişimi; kaleyi bulan/bulmayan ve konum/kalite kırılımlarıyla alt ayrımlanabilir.,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,OK
HP.SB.i_sabetsiz_sutlar,sportsbase_label,İsabetsiz Şutlar,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.engellenen_sutlar,sportsbase_label,Engellenen Şutlar,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.direkten_donen_sutlar,sportsbase_label,Direkten dönen şutlar,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.tum_hareketler,sportsbase_label,Tüm Hareketler,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
