concept_id,vendor,vendor_metric,phase_id,phase_name,metric_role,data_type,unit,polarity,definition_tr,counting_rule,scope,dependencies,source_urls,definition_status
HP.SB.basarili_takim_presi,sportsbase_label,Başarılı takım presi,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.ppda,sportsbase_label,PPDA,4_Organize_Savunma,Organize Savunma (Yerleşik savunma + baskı),success,event_or_matchstats,Maç başına ortalama,lower_is_better,"Rakibe (genelde rakibin final 60%’ında) kaç pas yaptırdığını, bir savunma aksiyonu (tackle/interception/foul vb.) başına ölçer. Düşük PPDA = daha yoğun pres.",,"{""phase_id"": ""4_Organize_Savunma"", ""phase_name"": ""Organize Savunma (Yerleşik savunma + baskı)""}",,https://support.hudl.com/s/article/passes-defensive-action; https://dataglossary.wyscout.com/metrics/,OK
HP.SB.build_up,sportsbase_label,Build up,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.no_pressing,sportsbase_label,No pressing,4_Organize_Savunma,Organize Savunma (Yerleşik savunma + baskı),success,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""4_Organize_Savunma"", ""phase_name"": ""Organize Savunma (Yerleşik savunma + baskı)""}",,,MISSING
HP.SB.high_pressing,sportsbase_label,High pressing,4_Organize_Savunma,Organize Savunma (Yerleşik savunma + baskı),success,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""4_Organize_Savunma"", ""phase_name"": ""Organize Savunma (Yerleşik savunma + baskı)""}",,,MISSING
HP.SB.high_pressing_successful,sportsbase_label,High pressing successful,4_Organize_Savunma,Organize Savunma (Yerleşik savunma + baskı),success,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""4_Organize_Savunma"", ""phase_name"": ""Organize Savunma (Yerleşik savunma + baskı)""}",,,MISSING
HP.SB.high_pressing_successful,sportsbase_label,"High pressing successful, %",4_Organize_Savunma,Organize Savunma (Yerleşik savunma + baskı),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""4_Organize_Savunma"", ""phase_name"": ""Organize Savunma (Yerleşik savunma + baskı)""}",,,MISSING
HP.SB.low_pressing,sportsbase_label,Low pressing,4_Organize_Savunma,Organize Savunma (Yerleşik savunma + baskı),success,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""4_Organize_Savunma"", ""phase_name"": ""Organize Savunma (Yerleşik savunma + baskı)""}",,,MISSING
HP.SB.low_pressing_successful,sportsbase_label,Low pressing successful,4_Organize_Savunma,Organize Savunma (Yerleşik savunma + baskı),success,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""4_Organize_Savunma"", ""phase_name"": ""Organize Savunma (Yerleşik savunma + baskı)""}",,,MISSING
HP.SB.low_pressing_successful,sportsbase_label,"Low pressing successful, %",4_Organize_Savunma,Organize Savunma (Yerleşik savunma + baskı),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""4_Organize_Savunma"", ""phase_name"": ""Organize Savunma (Yerleşik savunma + baskı)""}",,,MISSING
HP.SB.topla_oynama_dakika,sportsbase_label,"Topla oynama, dakika",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.topla_oynama_sayi,sportsbase_label,"Topla oynama, sayı",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.ortalama_topla_oynama_suresi,sportsbase_label,Ortalama topla oynama süresi,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.sol_kanat_hucumlarinin_tamami,sportsbase_label,Sol kanat hücumlarının tamamı,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.sutla_biten_sol_kanat_hucumlari,sportsbase_label,Şutla biten sol kanat hücumları,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.left_flank_attacks_with_shots,sportsbase_label,"Left flank attacks with shots, %",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,Şut girişimi; kaleyi bulan/bulmayan ve konum/kalite kırılımlarıyla alt ayrımlanabilir.,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,OK
HP.SB.merkezden_hucumlar,sportsbase_label,Merkezden hücumlar,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.sutla_biten_hucumlar_merkez,sportsbase_label,Şutla biten hücumlar - merkez,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.attacks_through_the_center_with_shots,sportsbase_label,"Attacks through the center with shots, %",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,Şut girişimi; kaleyi bulan/bulmayan ve konum/kalite kırılımlarıyla alt ayrımlanabilir.,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,OK
HP.SB.sag_kanat_hucumlari,sportsbase_label,Sağ kanat hücumları,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.sutla_biten_sag_kanat_hucumlari,sportsbase_label,Şutla biten sağ kanat hücumları,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.right_flank_attacks_with_shots,sportsbase_label,"Right flank attacks with shots, %",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,Şut girişimi; kaleyi bulan/bulmayan ve konum/kalite kırılımlarıyla alt ayrımlanabilir.,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,OK
HP.SB.set_hucumlari,sportsbase_label,Set Hücumları,3_DuranTop_Hucum,Duran Top Hücumu,intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""3_DuranTop_Hucum"", ""phase_name"": ""Duran Top Hücumu""}",,,MISSING
HP.SB.sutla_biten_set_hucumlari,sportsbase_label,Şutla biten set hücumları,3_DuranTop_Hucum,Duran Top Hücumu,intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""3_DuranTop_Hucum"", ""phase_name"": ""Duran Top Hücumu""}",,,MISSING
HP.SB.positional_attacks_with_shots,sportsbase_label,"Positional attacks with shots, %",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,Şut girişimi; kaleyi bulan/bulmayan ve konum/kalite kırılımlarıyla alt ayrımlanabilir.,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,OK
HP.SB.kontra_ataklar,sportsbase_label,Kontra Ataklar,2_Hucum_Gecisi,Hücum Geçişi (Kontra / hızlı çıkış),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,Top kazanımından sonra hızlı hücum girişimleri (tanım sağlayıcıya göre süre/şart içerir).,,"{""phase_id"": ""2_Hucum_Gecisi"", ""phase_name"": ""Hücum Geçişi (Kontra / hızlı çıkış)""}",,https://support.hudl.com/s/article/live-data-glossary,OK
HP.SB.sutla_biten_kontra_ataklar,sportsbase_label,Şutla biten kontra ataklar,2_Hucum_Gecisi,Hücum Geçişi (Kontra / hızlı çıkış),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,Kontra atakların şutla sonuçlanan kısmı.,,"{""phase_id"": ""2_Hucum_Gecisi"", ""phase_name"": ""Hücum Geçişi (Kontra / hızlı çıkış)""}",,https://support.hudl.com/s/article/live-data-glossary,OK
HP.SB.counter_attacks_with_shots,sportsbase_label,"Counter-attacks with shots, %",2_Hucum_Gecisi,Hücum Geçişi (Kontra / hızlı çıkış),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,Şut girişimi; kaleyi bulan/bulmayan ve konum/kalite kırılımlarıyla alt ayrımlanabilir.,,"{""phase_id"": ""2_Hucum_Gecisi"", ""phase_name"": ""Hücum Geçişi (Kontra / hızlı çıkış)""}",,,OK
HP.SB.duran_top_hucumlari,sportsbase_label,Duran Top Hücumları,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.sutla_biten_hucumlar_duran_toplar,sportsbase_label,Şutla biten hücumlar - duran toplar,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.set_piece_attacks_with_shots,sportsbase_label,"Set-piece attacks with shots, %",3_DuranTop_Hucum,Duran Top Hücumu,skill,event_or_matchstats,Maç başına ortalama,higher_is_better,Şut girişimi; kaleyi bulan/bulmayan ve konum/kalite kırılımlarıyla alt ayrımlanabilir.,,"{""phase_id"": ""3_DuranTop_Hucum"", ""phase_name"": ""Duran Top Hücumu""}",,,OK
HP.SB.serbest_vurus_hucumlari,sportsbase_label,Serbest Vuruş hücumları,3_DuranTop_Hucum,Duran Top Hücumu,intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""3_DuranTop_Hucum"", ""phase_name"": ""Duran Top Hücumu""}",,,MISSING
HP.SB.sutla_biten_serbest_vuruslar,sportsbase_label,Şutla biten serbest vuruşlar,3_DuranTop_Hucum,Duran Top Hücumu,intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""3_DuranTop_Hucum"", ""phase_name"": ""Duran Top Hücumu""}",,,MISSING
HP.SB.free_kick_attacks_with_shots,sportsbase_label,"Free-kick attacks with shots, %",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,Şut girişimi; kaleyi bulan/bulmayan ve konum/kalite kırılımlarıyla alt ayrımlanabilir.,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,OK
HP.SB.korner_hucumlari,sportsbase_label,Korner Hücumları,3_DuranTop_Hucum,Duran Top Hücumu,intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""3_DuranTop_Hucum"", ""phase_name"": ""Duran Top Hücumu""}",,,MISSING
HP.SB.sutla_bitirilen_kornerler,sportsbase_label,Şutla bitirilen kornerler,3_DuranTop_Hucum,Duran Top Hücumu,intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""3_DuranTop_Hucum"", ""phase_name"": ""Duran Top Hücumu""}",,,MISSING
HP.SB.corner_attacks_with_shots,sportsbase_label,"Corner attacks with shots, %",3_DuranTop_Hucum,Duran Top Hücumu,skill,event_or_matchstats,Maç başına ortalama,higher_is_better,Korner kullanımı veya korner kaynaklı aksiyon sayımı (tanım alt kırılımlara bağlıdır).,,"{""phase_id"": ""3_DuranTop_Hucum"", ""phase_name"": ""Duran Top Hücumu""}",,,OK
HP.SB.tac_atislari,sportsbase_label,Taç atışları,3_DuranTop_Hucum,Duran Top Hücumu,intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""3_DuranTop_Hucum"", ""phase_name"": ""Duran Top Hücumu""}",,,MISSING
HP.SB.sutla_bitirilen_tac_atislari,sportsbase_label,Şutla bitirilen taç atışları,3_DuranTop_Hucum,Duran Top Hücumu,intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""3_DuranTop_Hucum"", ""phase_name"": ""Duran Top Hücumu""}",,,MISSING
HP.SB.throw_in_attacks_with_shots,sportsbase_label,"Throw-in attacks with shots, %",3_DuranTop_Hucum,Duran Top Hücumu,skill,event_or_matchstats,Maç başına ortalama,higher_is_better,Şut girişimi; kaleyi bulan/bulmayan ve konum/kalite kırılımlarıyla alt ayrımlanabilir.,,"{""phase_id"": ""3_DuranTop_Hucum"", ""phase_name"": ""Duran Top Hücumu""}",,,OK
HP.SB.serbest_vurus_sutlari,sportsbase_label,Serbest Vuruş Şutları,3_DuranTop_Hucum,Duran Top Hücumu,intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""3_DuranTop_Hucum"", ""phase_name"": ""Duran Top Hücumu""}",,,MISSING
HP.SB.goller_serbest_vurus_hucumu,sportsbase_label,Goller - Serbest vuruş hücumu,3_DuranTop_Hucum,Duran Top Hücumu,reward,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""3_DuranTop_Hucum"", ""phase_name"": ""Duran Top Hücumu""}",,,MISSING
HP.SB.free_kick_opponent_s_goals,sportsbase_label,"Free-kick opponent's goals, %",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),reward,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.penalti,sportsbase_label,Penaltı,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.penalti_golleri,sportsbase_label,Penaltı golleri,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),reward,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.penalti_golleri,sportsbase_label,"Penaltı golleri, %",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),reward,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.goal_kicks_short_15_m,sportsbase_label,Goal kicks short (<15 m.),1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.goal_kicks_short_15_m_accurate,sportsbase_label,Goal kicks short (<15 m.) accurate,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.goal_kicks_short_15_m_accurate,sportsbase_label,"Goal kicks short (<15 m.) accurate, %",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.goal_kicks_medium_15_40_m,sportsbase_label,Goal kicks medium (15-40 m.),1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.goal_kicks_medium_15_40_m_accurate,sportsbase_label,Goal kicks medium (15-40 m.) accurate,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.goal_kicks_medium_15_40_m_accurate,sportsbase_label,"Goal kicks medium (15-40 m.) accurate, %",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.goal_kicks_long_40_m,sportsbase_label,Goal kicks long (40+ m.),1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.goal_kicks_long_40_m_accurate,sportsbase_label,Goal kicks long (40+ m.) accurate,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.goal_kicks_long_40_m_accurate,sportsbase_label,"Goal kicks long (40+ m.) accurate, %",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
